id,SMILES,bp_K,ValidMol,RDKit_InChIKey,MolWt,ExactMolWt,MolLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,RingCount,AromaticRingCount,AliphaticRingCount,HeterocycleCount,FractionCarbonSP3,HeavyAtomCount,HeteroatomCount,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge
0,C=C(C)[C@H]1CC=C(C)CC1,450.85,True,XMGQYMWWDOXHJM-JTQLQIEISA-N,136.23799999999997,136.125200512,3.308900000000002,0.0,0,0,1,1,0,1,0,0.6,10,0,56,0,-0.017096319446087898,-0.099849370815529
1,ClC(Cl)c1ccccc1,478.25,True,CAHQGWAXKLQREW-UHFFFAOYSA-N,161.031,159.984655552,3.1628000000000016,0.0,0,0,1,1,1,0,0,0.14285714285714285,9,2,48,0,0.13230563906999554,-0.10006374653481886
2,c1ccc(cc1)\C=C\c2ccccc2,580.25,True,PJANXHGTPQOBST-VAWYXSNFSA-N,180.24999999999997,180.093900384,3.857000000000003,0.0,0,0,2,2,2,0,0,0.0,14,0,68,0,-0.025646180347114717,-0.062226099107525704
3,ClC(Cl)(Cl)c1ccccc1,494.05,True,XEMRAKSQROQPBR-UHFFFAOYSA-N,195.47600000000003,193.9456832,3.513300000000002,0.0,0,0,0,1,1,0,0,0.14285714285714285,10,3,54,0,0.2155312639236141,-0.07841796242069204
4,ClCC(Cl)(Cl)Cl,403.45,True,QVLAWKAXOMEXPM-UHFFFAOYSA-N,167.85,165.891060784,2.5954000000000006,0.0,0,0,0,0,0,0,0,1.0,6,4,38,0,0.2034363907431141,-0.12206273847461951
5,FCC(F)(F)F,299.75,True,LVGUZGTVOIAKKC-UHFFFAOYSA-N,102.03000000000002,102.009262944,1.5182000000000002,0.0,0,0,0,0,0,0,0,1.0,6,4,38,0,0.41630089910816304,-0.24112655579497494
6,FC(F)(F)C(Cl)(Cl)Cl,318.75,True,BOSAWIQFTJIYIS-UHFFFAOYSA-N,187.37500000000003,185.9017677,2.9189,0.0,0,0,0,0,0,0,0,1.0,8,6,50,0,0.43524691185782005,-0.1663811571479959
7,CC(=O)C(Cl)(Cl)Cl,422.25,True,SMZHKGXSEAGRTI-UHFFFAOYSA-N,161.41500000000002,159.924947756,1.9456,17.07,0,1,0,0,0,0,0,0.6666666666666666,7,4,42,0,0.2478781618944826,-0.2951873946132923
8,CC(Cl)(Cl)Cl,347.25,True,UOCLXMDMGBRAIB-UHFFFAOYSA-N,133.405,131.930033136,2.376500000000001,0.0,0,0,0,0,0,0,0,1.0,5,3,32,0,0.18738218534988657,-0.08401345114285742
9,FC(F)(F)C(Cl)Cl,301.07,True,OHMHBGPWCHTMQE-UHFFFAOYSA-N,152.93,151.940740052,2.3524000000000003,0.0,0,0,0,0,0,0,0,1.0,7,5,44,0,0.41808294242509636,-0.1680013943449183
10,CC(F)(F)F,320.45,True,UJPMYEOUBPIPHQ-UHFFFAOYSA-N,84.04,84.018684756,1.5686000000000002,0.0,0,0,0,0,0,0,0,1.0,5,3,32,0,0.38592038429099035,-0.1715150103307834
11,FC(Cl)C(F)(F)C(F)(F)Cl,329.35,True,UJIGKESMIPTWJH-UHFFFAOYSA-N,202.93699999999998,201.937546492,2.9877000000000002,0.0,0,0,2,0,0,0,0,1.0,10,7,62,0,0.3879690662049616,-0.2228672704969095
12,BrC(Br)C(Br)Br,516.75,True,QXSZNDIIPUOQMB-UHFFFAOYSA-N,345.654,341.688998464,3.2182000000000004,0.0,0,0,1,0,0,0,0,1.0,6,4,38,0,0.09197940541960592,-0.0742996396999463
13,ClC(Cl)C(Cl)Cl,419.25,True,QPFMBZIOSGYJDE-UHFFFAOYSA-N,167.85,165.891060784,2.5938,0.0,0,0,1,0,0,0,0,1.0,6,4,38,0,0.13734361253139798,-0.10236499019348498
14,FC(F)(Cl)C(F)(Cl)Cl,320.95,True,AJDIZQLSFPQPEY-UHFFFAOYSA-N,187.37500000000003,185.9017677,2.9189,0.0,0,0,1,0,0,0,0,1.0,8,6,50,0,0.3829756476639305,-0.19948948791832122
15,ClCC(Cl)Cl,387.25,True,UBOXGVDOUJQMTN-UHFFFAOYSA-N,133.405,131.930033136,2.0289,0.0,0,0,1,0,0,0,0,1.0,5,3,32,0,0.12082872501594434,-0.12377171147587997
16,C=C(Cl)Cl,304.85,True,LGXVIGDEPROXKC-UHFFFAOYSA-N,96.944,95.953355424,1.9352,0.0,0,0,0,0,0,0,0,0.0,4,2,24,0,0.09918403887268369,-0.07155530834151903
17,CCOC(C)OCC,375.95,True,DHKHKXVYLBGOIT-UHFFFAOYSA-N,118.176,118.099379688,1.4054,18.46,0,2,4,0,0,0,0,1.0,8,2,50,0,0.15425517138581352,-0.3532616030064746
18,COC(C)OC,337.75,True,SPEUIVXLLWOEMJ-UHFFFAOYSA-N,90.122,90.06807956,0.6252,18.46,0,2,2,0,0,0,0,1.0,6,2,38,0,0.15353175643426945,-0.3562252067152514
19,CCOCCOCCOCC,461.25,True,RRQYJINTUHWNHW-UHFFFAOYSA-N,162.22899999999998,162.125594436,1.076,27.69,0,3,8,0,0,0,0,1.0,11,3,68,0,0.07011202089193938,-0.3793466986171839
20,Clc1ccc(Cl)c(Cl)c1Cl,527.25,True,GBDZXPJXOMHESU-UHFFFAOYSA-N,215.894,213.891060784,4.3002,0.0,0,0,0,1,1,0,0,0.0,10,4,54,0,0.07932005703926587,-0.08265371040725315
21,ClCC(Cl)CCl,431.25,True,CFXQEHVMCRXUSD-UHFFFAOYSA-N,147.43200000000002,145.9456832,2.0713999999999997,0.0,0,0,2,0,0,0,0,1.0,6,3,38,0,0.060618612030870274,-0.12506668729947193
22,Cc1cccc(C)c1C,449.37,True,FYGHSUNMUKGBRK-UHFFFAOYSA-N,120.195,120.093900384,2.611860000000001,0.0,0,0,0,1,1,0,0,0.3333333333333333,9,0,48,0,-0.03924826125183226,-0.06172129778023983
23,Clc1ccc(Cl)c(Cl)c1,486.75,True,PBKONEOXTCPAFI-UHFFFAOYSA-N,181.449,179.930033136,3.6468000000000007,0.0,0,0,0,1,1,0,0,0.0,9,3,48,0,0.06066130485936487,-0.08428709445773132
